s_no,tender_id,tender_id2,tender_ref,tender_title,tender_date,tender_details,tender_corrigendum,location,lat,lon
167,SECI000024,SECI-2018-TN000033,,SECI/C&amp;P/SPD/RfS/Leh-Kargil/7500MW/122018,"Sunday, 31-01-2021","RfS for 7500 MW Solar Power Projects in Leh and Kargil, Jammu and Kashmir",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030303234,Leh,34.1642029,77.5848133
168,SECI000035,SECI-2020-TN0000025,2020_SECI_557345_1,SECI/C&amp;P/RfB/2020/CG/100/150,"Thursday, 14-01-2021","Tender for 100 MW (AC) Solar PV Project (200MWp DC capacity) along with 50MW/150 MWh Battery Energy Storage System having 10 years plant O&amp;M at Rajnandgaon, Chhattisgarh, India",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030303335,"Rajnandgaon, Chhattisgarh",21.0684424,80.7970779
169,SECI000039,,,SECI/C&amp;P/SOFT/2020,"Thursday, 24-12-2020","Limited tender for Supply of Plex Earth Professional &amp; AutoCAD® Software at Solar Energy Corporation of India Limited, New Delhi",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030303339,Solar Energy Corporation,24.7996926,67.1067614
170,SECI000016,SECI-2020-TN000003,,SECI/C&amp;P/HPD/T3/1200MW/RfS/012020,"Monday, 07-12-2020",RfS for 1200 MW ISTS-connected Wind-Solar Hybrid Power Projects in India (Tranche-III),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030303136,India,32.46577280638944,95.19315836512597
174,SECI000033,SECI-2020-TN000023,2020_SECI_546135_1,SECI/C&amp;P/SPD/RfS/RJ-III/072020,"Wednesday, 28-10-2020",RfS for Setting up of 1070 MW Grid-Connected Solar PV Power projects in Rajasthan (Tranche-III),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030303333,Rajasthan,26.8105777,73.7684549
175,SECI000026,SECI-2020-TN000006,2020_SECI_514815_1,SECI/C&amp;P/RfS/PMDP/LK/2020,"Wednesday, 30-09-2020",Request for Selection (RfS) for setting up of 14 MW Solar Power Plants with 42 MWh BESS (7 MW / 21 MWh each at Leh and Kargil) under PMDP,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030303236,Leh,34.1642029,77.5848133
176,SECI000034,SECI-2020-TN000024,2020_SECI_550760_1,SECI/C&amp;P/NIT/AV EQUIP/082020,"Friday, 25-09-2020","SUPPLY AND INSTALLATION OF AUDIO VISUAL (AV) EQUIPMENTS AT CORPORATE OFFICE COMPLEX OF SOLAR ENERGY CORPORATION OF INDIA LIMITED (SECI) AT NBCC BUILDING, KIDWAI NAGAR (EAST), NEW DELHI",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030303334,India,19.93831334984606,85.52538800144546
177,SECI000032,SECI-2020-TN0000,,SECI/C&amp;P/NIT/2020/VOCPT5,"Friday, 04-09-2020",Tender for 5 MW (AC) grid connected ground based Solar PV Power Plant including 10 years plant O&amp;M at V. O. Chidambarana,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030303332,V,16.7323022,48.6084967
178,SECI000029,SECI-2020-TN000018,2020_SECI_539162_1,SECI/C&amp;P/SPD/RfS/10MW SPV/BK-RJ/062020,"Friday, 07-08-2020","Selection of Solar Power Developers for Setting up of 10 MW Grid Connected Solar PV Power Project to be installed at Bagru, Jaipur District, Rajasthan under Competitive Bidding",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030303239,"Bagru, Jaipur",26.8087953,75.5423119
181,SECI000017,SECI-2020-TN000013,2020_SECI_530054_1,SECI/C&amp;P/NIT/2020/SCCL15,"Friday, 10-07-2020",Tender for 15 MW (AC) Floating Solar PV Power Plant for different sites at SCCL Telangana State,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030303137,SCCL Telangana State,42.3588043,-71.0577716
182,SECI000018,SECI-2020-TN000012,2020_SECI_529404_1,SECI/C&amp;P/NIT/2020/SCCL32,"Thursday, 09-07-2020",TENDER DOCUMENT FOR 32 MW (AC) OB DUMP BASED SOLAR PV POWER PLANT FOR DIFFERENT PACKAGES AT SCCL TELANGANA STATE,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030303138,India,20.193867544127215,77.79657405937505
184,SECI000019,SECI-2020-TN000010,2020_SECI_528078_1,SECI/C&amp;P/NIT/2020/SCCL32,"Friday, 26-06-2020",TENDER DOCUMENT FOR 34 MW (AC) GROUND BASED SOLAR PV POWER PLANT FOR DIFFERENT PACKAGES AT SCCL TELANGANA STATE,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030303139,India,10.620860932888192,84.64407700340479
185,SECI000021,SECI-2020-TN000008,2020_SECI_529029_1,SECI/C&amp;P/SPD/ISTS-IX/RfS/2000MW/032020,"Monday, 22-06-2020",RfS for 2000 MW ISTS-connected Solar PV Power Projects in India (ISTS-IX),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030303231,India,12.690851381898764,79.06002423107167
187,SECI000028,SECI-2020-TN000004,2020_SECI_&nbsp;509894_1,SECI/C&amp;P/SPD/RfS/A&amp;N/4MW/012020,"Friday, 29-05-2020","Request for Selection (RFS) for setting up of 04 MW Floating Solar Power Plant with 02 MW/01 MWh BESS at Kalpong Dam, Diglipur, North Andaman &amp; Nicobar",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030303238,"Kalpong Dam, Diglipur",13.2277143,92.9394925
